Table de routage pour le noeud, 1 
 Chemin vers:, 2, Prochain sommet:, 2
 Chemin vers:, 3, Prochain sommet:, 3
 Chemin vers:, 4, Prochain sommet:, 4
 Chemin vers:, 5, Prochain sommet:, 5
 Chemin vers:, 6, Prochain sommet:, 6
 Chemin vers:, 7, Prochain sommet:, 7
 Chemin vers:, 8, Prochain sommet:, 8
 Chemin vers:, 9, Prochain sommet:, 9
 Chemin vers:, 10, Prochain sommet:, 10
 Chemin vers:, 11, Prochain sommet:, 12
 Chemin vers:, 12, Prochain sommet:, 12
 Chemin vers:, 13, Prochain sommet:, 5
 Chemin vers:, 14, Prochain sommet:, 7
 Chemin vers:, 15, Prochain sommet:, 5
 Chemin vers:, 16, Prochain sommet:, 16
 Chemin vers:, 17, Prochain sommet:, 12
 Chemin vers:, 18, Prochain sommet:, 7
 Chemin vers:, 19, Prochain sommet:, 8
 Chemin vers:, 20, Prochain sommet:, 2
 Chemin vers:, 21, Prochain sommet:, 2
 Chemin vers:, 22, Prochain sommet:, 4
 Chemin vers:, 23, Prochain sommet:, 6
 Chemin vers:, 24, Prochain sommet:, 6
 Chemin vers:, 25, Prochain sommet:, 25
 Chemin vers:, 26, Prochain sommet:, 6
 Chemin vers:, 27, Prochain sommet:, 4
 Chemin vers:, 28, Prochain sommet:, 4
 Chemin vers:, 29, Prochain sommet:, 2
 Chemin vers:, 30, Prochain sommet:, 3
 Chemin vers:, 31, Prochain sommet:, 12
 Chemin vers:, 32, Prochain sommet:, 5
 Chemin vers:, 33, Prochain sommet:, 6
 Chemin vers:, 34, Prochain sommet:, 12
 Chemin vers:, 35, Prochain sommet:, 2
 Chemin vers:, 36, Prochain sommet:, 4
 Chemin vers:, 37, Prochain sommet:, 3
 Chemin vers:, 38, Prochain sommet:, 5
 Chemin vers:, 39, Prochain sommet:, 6
 Chemin vers:, 40, Prochain sommet:, 25
 Chemin vers:, 41, Prochain sommet:, 12
 Chemin vers:, 42, Prochain sommet:, 2
 Chemin vers:, 43, Prochain sommet:, 2
 Chemin vers:, 44, Prochain sommet:, 6
 Chemin vers:, 45, Prochain sommet:, 4
 Chemin vers:, 46, Prochain sommet:, 4
 Chemin vers:, 47, Prochain sommet:, 3
 Chemin vers:, 48, Prochain sommet:, 12
 Chemin vers:, 49, Prochain sommet:, 4
 Chemin vers:, 50, Prochain sommet:, 12
 Chemin vers:, 51, Prochain sommet:, 2
 Chemin vers:, 52, Prochain sommet:, 7
 Chemin vers:, 53, Prochain sommet:, 8
 Chemin vers:, 54, Prochain sommet:, 7
 Chemin vers:, 55, Prochain sommet:, 4
